node_id,lat_centro,lon_centro,n_accidentes,n_graves,n_mortales,n_alcohol,sensores_imd_500m,idx_peligrosidad,categoria
PN_0270,40.45830312535082,-3.6899788640078603,47,6,0,6,122,0.1499,ALTO
PN_0271,40.42029123772189,-3.717019619890017,53,8,0,1,73,0.1491,CRITICO
PN_0272,40.42996087528679,-3.6707608998029593,30,5,1,0,67,0.149,CRITICO
PN_0273,40.430211066977954,-3.6837852163770632,46,9,0,1,47,0.1479,ALTO
PN_0274,40.40998967346785,-3.663862935664452,59,5,0,4,66,0.1474,CRITICO
PN_0275,40.4400341862593,-3.7101264102765867,48,8,0,2,39,0.1473,ALTO
PN_0276,40.38384585213856,-3.7207315884551377,42,7,0,5,89,0.146,ALTO
PN_0277,40.412881803521515,-3.6697710083182273,37,9,0,3,44,0.1457,ALTO
PN_0278,40.4840064383331,-3.6730231012296533,54,5,0,5,50,0.1456,CRITICO
PN_0279,40.42678353876016,-3.6876061501979756,49,7,0,3,51,0.1452,ALTO
PN_0280,40.41499139037493,-3.6601523451938105,81,3,0,1,60,0.145,CRITICO
PN_0281,40.415836626692325,-3.6946917608091767,45,7,0,4,76,0.1449,ALTO
PN_0282,40.42006126686189,-3.701968209267707,62,3,0,6,59,0.1447,CRITICO
PN_0283,40.380073217263465,-3.7189452033357147,51,6,0,4,12,0.1447,CRITICO
PN_0284,40.42274120985482,-3.6561351763409116,57,5,0,4,54,0.1444,CRITICO
PN_0285,40.47390131311325,-3.7020015195538543,57,5,0,4,54,0.1444,CRITICO
PN_0286,40.41880714401136,-3.6961004891788325,62,6,0,1,87,0.1442,CRITICO
PN_0287,40.400982612073,-3.667122122582259,78,4,0,0,68,0.1441,CRITICO
PN_0288,40.451198171905354,-3.690809203922507,49,5,0,6,68,0.1437,ALTO
PN_0289,40.387174412516735,-3.700927582165392,39,6,0,7,46,0.1436,ALTO
PN_0290,40.40008720570095,-3.668001719478332,70,4,0,2,63,0.1434,CRITICO
